"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"","","39","High Sierra Loop Backpack Aquamarine/White/Ash 19 x 13.5 x 8.5-Inch","High Sierra","$34.99","570","$19944","","$21.82","6844","4.5","$13.17","2","AMZ","Sports & Outdoors","B00QGDVJF0","https://www.amazon.com/53646-Mochila-loop-High-Sierra/dp/B00QGDVJF0/ref=sr_1_39?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-39"
"","","40","AmazonBasics Sports Backpack","AmazonBasics","$38.50","165","$6353","","$24.54","609","4.5","$13.96","","AMZ","Clothing Shoes & Jewelry","B07D7WPN38","https://www.amazon.com/AmazonBasics-ZH1802045R1A-Sports-Backpack-Pink/dp/B07D7WPN38/ref=sr_1_40?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-40"
"","","41","GZ XINXING 43L Large 3 day Molle Assault Pack Military Tactical Army Backpack Bug Out Bag Rucksack Daypack","GZ XINXING","$36.98","450","$16641","","$26.13","171","4.5","$10.85","","FBA","Sports & Outdoors","B083S47TW4","https://www.amazon.com/GZ-XINXING-Military-Tactical-Backpack/dp/B083S47TW4/ref=sr_1_41?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-41"
"","","42","Monoki Military Tactical Backpack Army 3 Day Assault Pack42L Molle Bag Rucksack","Monoki","$33.99","953","$32392","","$23.8","587","4.5","$10.19","7","FBA","Sports & Outdoors","B07R5S6KSB","https://www.amazon.com/Military-Tactical-Monoki-Backpacks-Traveling/dp/B07R5S6KSB/ref=sr_1_42?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-42"
"","","43","Laptop Backpack Business Water Resistant Laptops Backpack Gift for Men Women with Lock and USB Charging Port Mancro Anti Theft College School Bookbag Travel Computer Bag for 15.6 Inch LaptopsGrey","Mancro","$16.99","3500","$59465","","$9.73","9418","4.5","$7.26","6","FBA","Laptop Backpacks","B01LY3QXGP","https://www.amazon.com/dp/B01LY3QXGP"
"","","44","SWISSGEAR 1900 ScanSmart TSA Laptop Backpack- Black/Black","SwissGear","$64.99","818","$53162","","$46.64","10627","4.5","$18.35","3","FBA","Laptop Backpacks","B0772RGLXL","https://www.amazon.com/SWISSGEAR-Travel-Gear-Scansmart-Backpack/dp/B0772RGLXL/ref=sr_1_44?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-44"
"","","45","Travel Laptop BackpackExtra Large Anti Theft College School Backpack for Men and Women with USB Charging PortWater Resistant Big Business Computer Backpack Bag Fit 17 Inch Laptop and NotebookBlack","Della Gao","$22.06","2193","$48378","","$14.04","1539","4.5","$8.02","7","FBA","Laptop Backpacks","B07SVV25GC","https://www.amazon.com/Backpack-Charging-Resistant-Business-Computer/dp/B07SVV25GC/ref=sr_1_45?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-45"
"","","46","The North Face Women's Vault Backpack","The North Face","$43.99","165","$7258","","$29.34","53","4.5","$14.65","3","FBM","Clothing Shoes & Jewelry","B07MP8X4PB","https://www.amazon.com/North-Face-Womens-Vault-Backpack/dp/B07MP8X4PB/ref=sr_1_46?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-46"
"","","47","Osprey Nebula Men's Laptop Backpack","Osprey","$119.95","18","$2159","","$93.71","141","4.5","$26.24","2","AMZ","","B07P829HVG","https://www.amazon.com/Osprey-Packs-Nebula-Laptop-Backpack/dp/B07P829HVG/ref=sr_1_47?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-47"
"","","48","Laptop Backpack 17 Inch Waterproof Extra Large TSA Travel Backpack Anti Theft College School Business Mens Backpacks with USB Charging Port 17.3 Gaming Computer Backpack for Women Men Blue 45L","NUBILY","$35.86","195","$6993","","$25.54","421","5","$10.32","5","FBA","Laptop Backpacks","B07ZKCD851","https://www.amazon.com/port%C3%A1til-pulgadas-negocios-computadora-port%C3%A1til/dp/B07ZKCD851/ref=sr_1_48?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-48"
