JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu May 14 2020 12:11:54 GMT-0700 (Pacific Daylight Time)
ASIN ,Product Name ,Brand ,Category ,Est. Monthly Revenue ,Est. Monthly Sales ,Price ,Fees ,Net ,Rank ,Reviews ,LQS ,Sellers ,Buy Box Owner ,Rating ,Dimensions ,Product Tier ,Weight
"B077JP7DVN" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$324,002.50" ,"5,125" ,"$63.22" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07BTRP5ZV" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$323,749.62" ,"5,121" ,"$63.22" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B077JNXGNB" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$323,496.74" ,"5,117" ,"$63.22" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07SPWD645" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$323,366.40" ,"5,376" ,"$60.15" ,"N.A." ,"N.A." ,"386" ,"2494" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"12 lbs"
"B07YN87B3B" ,"TUMI - Voyageur Hartford Laptop Backpack - 13 Inch Computer Bag For Women - Black" ,"TUMI" ,"Clothing, Shoes & Jewelry" ,"$322,920.00" ,"1,170" ,"$276.00" ,"$49.66" ,"$226.34" ,"595,957" ,"10" ,"5" ,"1" ,"Zappos" ,"4.4" ,"7.90" x 11.50" x 18.80"" ,"Oversize (Small)" ,"2.3501 lbs"
"B07BC9SF76" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$321,759.02" ,"5,126" ,"$62.77" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07BHB4TJ3" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$321,005.78" ,"5,114" ,"$62.77" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B07C3SWZXK" ,"Diaper Bag Backpack  RUVALINO Multifunction Travel Back Pack Maternity Baby Changing Bags  Large Capacity  Waterproof and Stylish  Gray" ,"RUVALINO" ,"Baby" ,"$311,482.11" ,"7,789" ,"$39.99" ,"$10.75" ,"$29.24" ,"282" ,"3789" ,"7" ,"3" ,"RUVALINO-US" ,"4.8" ,"17.25" x 13.50" x 3.25"" ,"Standard (Large)" ,"2.1 lbs"
"B07C298DMM" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$308,629.65" ,"5,131" ,"$60.15" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B077JP8BDT" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$308,148.45" ,"5,123" ,"$60.15" ,"N.A." ,"N.A." ,"564" ,"2548" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B077JP5B5X" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$308,148.45" ,"5,123" ,"$60.15" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B081PX9R4Y" ,"Abshoo Classical Basic Womens Travel Backpack For College Men Water Resistant Laptop School Bookbag (USB Army Green)" ,"abshoo" ,"Clothing, Shoes & Jewelry" ,"$277,550.26" ,"9,574" ,"$28.99" ,"$9.06" ,"$19.93" ,"269,326" ,"95" ,"7" ,"1" ,"Abshoo" ,"4.6" ,"1.80" x 13.00" x 16.00"" ,"Standard (Large)" ,"1.1993 lbs"
"B07LD46MH8" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$267,871.80" ,"2,820" ,"$94.99" ,"N.A." ,"N.A." ,"1,225" ,"1185" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"14 lbs"
